Scene,Eccentricity,EccentricityWidth,Mean,Interquartile
Line,1,0.5,0,0
Line,2,0.5,0,0
Line,5,0.5,0,0
Line,10,0.5,1.65614296391157,0.031321168909705
Line,15,0.5,1.65775508289957,0.031321168909705
Line,20,0.5,0,0
Line,30,0.5,0,0
Outline,1,0.5,0,0
Outline,2,0.5,0,0
Outline,5,0.5,0,0
Outline,10,0.5,1.26616924048613,0
Outline,15,0.5,2.16701805268312,0.30055079504491
Outline,20,0.5,2.34973712138918,0
Outline,30,0.5,2.34973712138918,0
Cloud,1,0.5,0.309207791032435,0
Cloud,2,0.5,0.425277917481382,0.137610623419086
Cloud,5,0.5,1.50977677673118,0.484551266636959
Cloud,10,0.5,1.84707615800155,0.031321168909705
Cloud,15,0.5,2.33741149947168,1.24229328250044
Cloud,20,0.5,5.39374462653094,1.83061908793205
Cloud,30,0.5,8.78973553819228,3.96646482029759
Room,1,0.5,0.170865655825746,0.0561965926878249
Room,2,0.5,0.323126277757565,0.0831462170996788
Room,5,0.5,0.830216408630576,0.0493161404102139
Room,10,0.5,1.42818594035486,0.356315479087107
Room,15,0.5,2.28323078257664,0.539463026655751
Room,20,0.5,3.96225440145076,1.02368149929326
Room,30,0.5,6.44747269105058,1.66483567342218
